message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_091,mute,spam,"The user has reported every past message from this sender and opened none, so this sender is suppressed.",0.9,none
msg_090,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_048,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_040,mute,unknown,The user has muted this conversation and the message carries no direct request.,0.85,none
msg_075,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_005,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_104,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_069,mute,unknown,The user has muted this conversation and the message carries no direct request.,0.85,none
msg_107,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_070,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_003,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_099,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_008,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_092,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_060,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_004,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_030,mute,unknown,The user has muted this conversation and the message carries no direct request.,0.85,none
msg_045,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_052,mute,scam,"Sender uses talabat-refund.com instead of the brand's talabat.com, is unverified, and has 61 reports.",0.93,none
msg_009,mute,unknown,The user has muted this conversation and the message carries no direct request.,0.85,none
msg_071,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_016,mute,spam,"The user has reported every past message from this sender and opened none, so this sender is suppressed.",0.9,none
msg_065,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_038,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_086,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_014,mute,unknown,The user opted out of promotions from this brand on 2026-07-17 23:55.,0.88,none
msg_094,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_029,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_105,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_002,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_010,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_078,mute,spam,"The user has reported every past message from this sender and opened none, so this sender is suppressed.",0.9,none
msg_013,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_018,mute,spam,"The user has reported every past message from this sender and opened none, so this sender is suppressed.",0.9,none
msg_044,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_032,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_106,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_006,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_109,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_108,mute,scam,"Sender uses chase-secure-alert.com instead of the brand's chase.com, is unverified, and has 55 reports.",0.93,none
msg_019,mute,scam,"Sender uses chase-secure-alert.com instead of the brand's chase.com, is unverified, and has 55 reports.",0.93,none
msg_088,mute,unknown,The user has muted this conversation and the message carries no direct request.,0.85,none
msg_056,mute,unknown,The user has muted this conversation and the message carries no direct request.,0.85,none
msg_027,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_050,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_083,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_063,mute,spam,"The user has reported every past message from this sender and opened none, so this sender is suppressed.",0.9,none
msg_033,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_061,mute,unknown,The user has muted this conversation and the message carries no direct request.,0.85,none
msg_020,digest,unknown,"Routing could not be validated for this message, so it was held for later review rather than interrupting the user.",0.5,none
msg_017,mute,spam,"The user has reported every past message from this sender and opened none, so this sender is suppressed.",0.9,none
msg_058,mute,unknown,The user has muted this conversation and the message carries no direct request.,0.85,none
